,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
161,-0.3966611,-0.2781591,-0.032950114,0.29071298,-0.5807758,-0.030806834,-0.0043622237,-0.042198665,0.48145515,1,2
162,-0.26026997,0.8164973,0.07759978,-0.825671,-0.16757393,0.0035901438,0.018497013,-0.06824086,0.7245958,0,0
163,-0.1809096,0.7480067,0.064911634,-0.8493724,-0.08883237,0.014685907,0.015205173,-0.059241623,0.66741663,1,0
164,-0.34399933,0.8269068,0.09503834,-0.8329748,-0.27641666,-0.011657337,0.018290564,-0.08931456,0.7905202,0,1
165,-0.2086086,0.79960155,0.05524255,-0.88101923,-0.15435082,0.026199259,0.03043771,-0.048523907,0.74873513,1,1
166,-0.59435946,-0.2430937,-0.0002507372,0.23395753,-0.6459238,-0.048753146,0.021013642,-0.04415936,0.58000517,0,2
167,-0.40427944,-0.4497494,-0.010083542,0.4444332,-0.5804881,-0.051189795,0.025354218,-0.042523164,0.5912689,1,2
168,-0.39432478,0.7756795,0.08722655,-0.7842724,-0.33042535,0.0130526135,0.042512987,-0.07326257,0.74779725,0,0
169,0.48223892,-0.43592116,-0.049310528,0.28602967,0.50533944,0.055712733,0.004566274,-0.036544178,0.47841805,1,0
170,-0.4441966,0.7914578,0.09478552,-0.79488283,-0.39270145,-0.00547907,0.034014855,-0.08340715,0.8120446,0,1
171,0.6098102,-0.41748953,-0.05375375,0.31647944,0.63457423,0.05193974,0.0031779371,-0.042173564,0.60415,1,1
172,-0.26812592,0.0938324,0.024739731,-0.11223731,-0.2682222,-0.005470807,0.015491392,-0.025390642,0.24876863,0,2
173,-0.21324225,-0.076795146,0.0011534081,0.09291089,-0.36960804,-0.027075954,0.0018951386,-0.017341867,0.29576305,1,2
174,-0.27066502,0.814623,0.107928455,-0.815747,-0.18577318,0.012642841,0.03707647,-0.09678539,0.7227226,0,0
175,-0.229566,0.8390345,0.096258946,-0.74385965,-0.11537678,-0.012760042,0.0018798565,-0.0892565,0.6636635,1,0
176,-0.35767987,0.8231752,0.09010139,-0.8302993,-0.2965992,-0.0031158142,0.024587655,-0.08303652,0.7961658,0,1
177,-0.25778165,0.8646137,0.0778828,-0.8040636,-0.18790792,-0.0024631622,0.011679572,-0.07219741,0.755336,1,1
178,-0.38268587,0.09263549,0.030767716,-0.095385134,-0.38217813,-0.020929327,0.017097302,-0.032689393,0.32709107,0,2
179,-0.25657505,-0.12641948,-0.003829746,0.13087554,-0.45490733,-0.05055586,0.0187215,-0.056407757,0.33979452,1,2
180,-0.245765,0.8225824,0.096470594,-0.82562965,-0.16100612,0.0032523642,0.01913085,-0.08877524,0.72644114,0,0
181,0.3915215,-0.51821023,-0.061251108,0.42776018,0.38162014,0.007366543,0.019174196,-0.03953267,0.48921034,1,0
182,-0.34132966,0.8308034,0.101164564,-0.8351544,-0.2786743,0.0028284397,0.03580234,-0.09295615,0.7971127,0,1
183,0.5366175,-0.48922974,-0.07474508,0.43301955,0.53322756,0.02062824,0.038262904,-0.05364708,0.57678276,1,1
184,0.07489559,-0.050650474,-0.0033870328,0.0404552,-0.01749668,0.0064164153,-0.0061342698,-0.009413887,0.16233398,0,2
185,0.17459422,-0.09622483,-0.026035009,0.10787225,-0.054351483,-0.022169873,-0.009140014,-0.019783698,0.27000913,1,2
186,-0.2473732,0.81713045,0.09999219,-0.82460135,-0.14932954,0.010895286,0.025976298,-0.09205138,0.71737736,0,0
187,0.5669945,-0.27099586,0.0011363154,0.3422527,0.54846376,0.038903214,-0.011709124,-0.020236995,0.5097832,1,0
188,-0.3327467,0.8328637,0.10520321,-0.8351737,-0.2658371,0.01130057,0.04060456,-0.09313305,0.7911698,0,1
189,0.66657597,-0.22933362,0.0070435107,0.28076637,0.67158985,0.050675604,-0.020538354,-0.032509822,0.5849743,1,1
190,-0.6149959,-0.3298356,-0.0014115754,0.3264845,-0.6751771,-0.062348668,0.023331834,-0.052803762,0.6459721,0,2
191,-0.39642805,-0.5205348,-0.0073272595,0.52430433,-0.5732198,-0.058807597,0.03758201,-0.041463766,0.6363211,1,2
192,-0.24557604,0.82780516,0.09689873,-0.8260021,-0.15564154,0.00048419667,0.015205071,-0.08656849,0.7310778,0,0
193,0.65444654,-0.03818716,-0.008354732,-0.016259694,0.6648527,0.056241747,0.001232389,-0.033970296,0.5174212,1,0
194,-0.33316895,0.8340674,0.08978858,-0.8350762,-0.27147365,0.001825856,0.030746462,-0.08062355,0.7947426,0,1
